kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 52 : 1280 11680 0 0 0 0 0 0 0 
a.1.sm_52.ptx 51 : 1280 6400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 50 : 1280 7680 0 0 0 0 0 0 0 
a.1.sm_52.ptx 66 : 500 4500 0 0 0 0 0 0 0 
a.1.sm_52.ptx 164 : 500 14224 0 20 20 0 0 0 0 
a.1.sm_52.ptx 37 : 1280 11840 0 0 0 0 0 0 0 
a.1.sm_52.ptx 96 : 25344 152544 0 0 0 0 0 0 0 
a.1.sm_52.ptx 165 : 500 3000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 38 : 1280 14240 0 0 0 0 0 0 0 
a.1.sm_52.ptx 97 : 25344 228256 0 0 0 0 0 0 0 
a.1.sm_52.ptx 166 : 500 4500 0 0 0 0 0 0 0 
a.1.sm_52.ptx 39 : 1280 15840 0 0 0 0 0 0 0 
a.1.sm_52.ptx 98 : 25344 152064 0 0 0 0 0 0 0 
a.1.sm_52.ptx 167 : 500 4500 0 0 0 0 0 0 0 
a.1.sm_52.ptx 40 : 1280 18240 0 0 0 0 0 0 0 
a.1.sm_52.ptx 99 : 25344 134016 0 0 0 0 0 0 0 
a.1.sm_52.ptx 168 : 500 5396 0 0 0 80 20 0 0 
a.1.sm_52.ptx 41 : 1280 20960 0 0 0 0 0 0 0 
a.1.sm_52.ptx 100 : 25344 228096 0 0 0 0 0 0 0 
a.1.sm_52.ptx 42 : 1280 18720 0 0 0 0 0 0 0 
a.1.sm_52.ptx 101 : 25344 234432 0 0 0 0 0 0 0 
a.1.sm_52.ptx 43 : 1280 19680 0 0 0 0 0 0 0 
a.1.sm_52.ptx 102 : 25344 228096 0 0 0 0 0 0 0 
a.1.sm_52.ptx 171 : 1280 6496 0 0 0 0 0 0 0 
a.1.sm_52.ptx 44 : 1280 7040 0 0 0 0 0 0 0 
a.1.sm_52.ptx 45 : 1280 7840 0 0 0 0 0 0 0 
a.1.sm_52.ptx 75 : 1280 6560 0 0 0 0 0 0 0 
a.1.sm_52.ptx 46 : 1280 6720 0 0 0 0 0 0 0 
a.1.sm_52.ptx 47 : 1280 11520 0 0 0 0 0 0 0 
a.1.sm_52.ptx 48 : 1280 11520 0 0 0 0 0 0 0 
a.1.sm_52.ptx 49 : 1280 11680 0 0 0 0 0 0 0 
a.1.sm_52.ptx 67 : 500 4500 0 0 0 0 0 0 0 
a.1.sm_52.ptx 68 : 500 85236 128 0 0 80 20 0 0 
a.1.sm_52.ptx 69 : 500 3000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 70 : 500 2500 0 0 0 0 0 0 0 
a.1.sm_52.ptx 71 : 500 4500 0 0 0 0 0 0 0 
a.1.sm_52.ptx 72 : 500 1500 0 20 20 0 0 0 0 
a.1.sm_52.ptx 76 : 1280 7680 0 0 0 0 0 0 0 
a.1.sm_52.ptx 77 : 1280 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 79 : 1280 7680 0 0 0 0 0 0 0 
a.1.sm_52.ptx 80 : 1280 7680 0 0 0 0 0 0 0 
a.1.sm_52.ptx 81 : 1280 11520 0 0 0 0 0 0 0 
a.1.sm_52.ptx 82 : 1280 7680 0 0 0 0 0 0 0 
a.1.sm_52.ptx 83 : 1280 11520 0 0 0 0 0 0 0 
a.1.sm_52.ptx 84 : 1280 12800 0 0 0 0 0 0 0 
a.1.sm_52.ptx 85 : 1280 12800 0 0 0 0 0 0 0 
a.1.sm_52.ptx 86 : 1280 12960 0 0 0 0 0 0 0 
a.1.sm_52.ptx 87 : 1280 8000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 88 : 1280 8160 0 0 0 0 0 0 0 
a.1.sm_52.ptx 91 : 25344 138144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 92 : 25344 228096 0 0 0 0 0 0 0 
a.1.sm_52.ptx 93 : 25344 152064 0 0 0 0 0 0 0 
a.1.sm_52.ptx 94 : 25344 228416 0 0 0 0 0 0 0 
a.1.sm_52.ptx 95 : 25344 152064 0 0 0 0 0 0 0 
